property,alt_property,label,onnx,result,time,details
prop_0_0.03.vnnlib,prop_0_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,5.543486833572388,
prop_0_0.05.vnnlib,prop_0_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,sat,1.4729154109954834,
prop_10_0.03.vnnlib,prop_10_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,3.6862776279449463,
prop_10_0.05.vnnlib,prop_10_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,22.99368166923523,
prop_11_0.03.vnnlib,prop_11_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,4.0976269245147705,
prop_11_0.05.vnnlib,prop_11_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,10.430519342422485,
prop_12_0.03.vnnlib,prop_12_0.03_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext9.onnx,sat,1.4084601402282715,
prop_12_0.05.vnnlib,prop_12_0.05_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext9.onnx,sat,1.6351478099822998,
prop_13_0.03.vnnlib,prop_13_0.03_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,3.7291011810302734,
prop_13_0.05.vnnlib,prop_13_0.05_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,5.569368362426758,
prop_14_0.03.vnnlib,prop_14_0.03_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,3.4261536598205566,
prop_14_0.05.vnnlib,prop_14_0.05_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,9.802034854888916,
prop_1_0.03.vnnlib,prop_1_0.03_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext7.onnx,sat,1.3773527145385742,
prop_1_0.05.vnnlib,prop_1_0.05_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext7.onnx,sat,1.3633172512054443,
prop_2_0.03.vnnlib,prop_2_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,timeout,301.8040361404419,
prop_2_0.05.vnnlib,prop_2_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,sat,1.765568494796753,
prop_3_0.03.vnnlib,prop_3_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,3.754504680633545,
prop_3_0.05.vnnlib,prop_3_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,5.485489845275879,
prop_4_0.03.vnnlib,prop_4_0.03_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext3.onnx,unsat,4.885638236999512,
