property,result,time
prop_0_0.03_alt.vnnlib,unsat,4.888935327529907
prop_0_0.05_alt.vnnlib,sat,4.3656110763549805
prop_10_0.03_alt.vnnlib,unsat,4.543183088302612
prop_10_0.05_alt.vnnlib,timeout,102.69090723991394
prop_11_0.03_alt.vnnlib,unsat,4.930490016937256
prop_11_0.05_alt.vnnlib,timeout,81.93139791488647
prop_12_0.03_alt.vnnlib,timeout,60.82524919509888
prop_12_0.05_alt.vnnlib,sat,6.6435816287994385
prop_13_0.03_alt.vnnlib,unsat,3.4662325382232666
prop_13_0.05_alt.vnnlib,unsat,20.2290358543396
prop_14_0.03_alt.vnnlib,unsat,4.72591757774353
prop_14_0.05_alt.vnnlib,unsat,43.27764105796814
prop_1_0.03_alt.vnnlib,timeout,70.12187814712524
prop_1_0.05_alt.vnnlib,timeout,61.14280438423157
prop_2_0.03_alt.vnnlib,timeout,91.39962482452393
prop_2_0.05_alt.vnnlib,timeout,62.716217279434204
prop_3_0.03_alt.vnnlib,unsat,6.349208354949951
prop_3_0.05_alt.vnnlib,unsat,12.360065698623657
prop_4_0.03_alt.vnnlib,timeout,65.08961415290833
prop_4_0.05_alt.vnnlib,timeout,60.44163489341736
prop_5_0.03_alt.vnnlib,unsat,4.825811862945557
prop_5_0.05_alt.vnnlib,timeout,60.63767766952515
prop_6_0.03_alt.vnnlib,timeout,60.476314306259155
prop_6_0.05_alt.vnnlib,timeout,60.32080006599426
prop_7_0.03_alt.vnnlib,unsat,4.904494285583496
prop_7_0.05_alt.vnnlib,unsat,4.8466596603393555
prop_8_0.03_alt.vnnlib,unsat,21.49956250190735
prop_8_0.05_alt.vnnlib,sat,7.83845591545105
prop_9_0.03_alt.vnnlib,unsat,4.839746475219727
prop_9_0.05_alt.vnnlib,timeout,76.58464121818542
