property,alt_property,label,onnx,result,time,details
prop_0_0.03.vnnlib,prop_0_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,unsat,4.414376974105835,
prop_0_0.05.vnnlib,prop_0_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,unsat,7.096783876419067,
prop_10_0.03.vnnlib,prop_10_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,unsat,3.885437488555908,
prop_10_0.05.vnnlib,prop_10_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,unsat,7.321577787399292,
prop_11_0.03.vnnlib,prop_11_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext0.onnx,unsat,4.446235179901123,
prop_11_0.05.vnnlib,prop_11_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext0.onnx,unsat,5.792049407958984,
prop_12_0.03.vnnlib,prop_12_0.03_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext9.onnx,unsat,4.74188756942749,
prop_12_0.05.vnnlib,prop_12_0.05_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext9.onnx,timeout,65.0653772354126,
prop_13_0.03.vnnlib,prop_13_0.03_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext8.onnx,unsat,4.818059921264648,
prop_13_0.05.vnnlib,prop_13_0.05_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext8.onnx,timeout,66.31429362297058,
prop_14_0.03.vnnlib,prop_14_0.03_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext6.onnx,unsat,4.594295024871826,
prop_14_0.05.vnnlib,prop_14_0.05_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext6.onnx,unsat,6.693159580230713,
prop_1_0.03.vnnlib,prop_1_0.03_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext7.onnx,unsat,7.755681991577148,
prop_1_0.05.vnnlib,prop_1_0.05_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext7.onnx,timeout,71.62695336341858,
prop_2_0.03.vnnlib,prop_2_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,unsat,4.082224607467651,
prop_2_0.05.vnnlib,prop_2_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext4.onnx,timeout,72.09394931793213,
prop_3_0.03.vnnlib,prop_3_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext0.onnx,unsat,4.1944403648376465,
prop_3_0.05.vnnlib,prop_3_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext0.onnx,unsat,5.981962203979492,
prop_4_0.03.vnnlib,prop_4_0.03_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext3.onnx,unsat,4.780711650848389,
prop_4_0.05.vnnlib,prop_4_0.05_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext3.onnx,timeout,69.21417617797852,
prop_5_0.03.vnnlib,prop_5_0.03_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext6.onnx,unsat,4.926962375640869,
prop_5_0.05.vnnlib,prop_5_0.05_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext6.onnx,unsat,7.485285043716431,
prop_6_0.03.vnnlib,prop_6_0.03_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext5.onnx,unsat,20.16777467727661,
prop_6_0.05.vnnlib,prop_6_0.05_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext5.onnx,timeout,65.91862344741821,
prop_7_0.03.vnnlib,prop_7_0.03_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext5.onnx,unsat,4.09174656867981,
prop_7_0.05.vnnlib,prop_7_0.05_alt.vnnlib,5,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext5.onnx,unsat,8.05384612083435,
prop_8_0.03.vnnlib,prop_8_0.03_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext3.onnx,unsat,6.28742241859436,
prop_8_0.05.vnnlib,prop_8_0.05_alt.vnnlib,3,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext3.onnx,timeout,70.35173106193542,
prop_9_0.03.vnnlib,prop_9_0.03_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext8.onnx,unsat,4.3013670444488525,
prop_9_0.05.vnnlib,prop_9_0.05_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x4_ext8.onnx,timeout,67.60367798805237,
