property,result,time
prop_0_0.03_alt.vnnlib,unsat,10.50299620628357
prop_0_0.05_alt.vnnlib,timeout,60.238024950027466
prop_10_0.03_alt.vnnlib,unsat,9.442817211151123
prop_10_0.05_alt.vnnlib,unsat,10.194714069366455
prop_11_0.03_alt.vnnlib,unsat,9.209782123565674
prop_11_0.05_alt.vnnlib,unsat,9.186338663101196
prop_12_0.03_alt.vnnlib,unsat,9.177785873413086
prop_12_0.05_alt.vnnlib,timeout,71.09304404258728
prop_13_0.03_alt.vnnlib,unsat,10.948072671890259
prop_13_0.05_alt.vnnlib,timeout,86.66776633262634
prop_14_0.03_alt.vnnlib,unsat,9.615561723709106
prop_14_0.05_alt.vnnlib,timeout,63.86600470542908
prop_1_0.03_alt.vnnlib,timeout,64.38759207725525
prop_1_0.05_alt.vnnlib,timeout,75.7099461555481
prop_2_0.03_alt.vnnlib,unsat,9.866032123565674
prop_2_0.05_alt.vnnlib,timeout,63.344273805618286
prop_3_0.03_alt.vnnlib,unsat,12.340384483337402
prop_3_0.05_alt.vnnlib,unsat,14.013272523880005
prop_4_0.03_alt.vnnlib,unsat,10.825011491775513
prop_4_0.05_alt.vnnlib,timeout,89.55321884155273
prop_5_0.03_alt.vnnlib,unsat,14.571927785873413
prop_5_0.05_alt.vnnlib,timeout,113.71065092086792
prop_6_0.03_alt.vnnlib,timeout,64.21446919441223
prop_6_0.05_alt.vnnlib,timeout,84.55833196640015
prop_7_0.03_alt.vnnlib,unsat,10.98129391670227
prop_7_0.05_alt.vnnlib,timeout,120.05080246925354
prop_8_0.03_alt.vnnlib,unsat,12.156512260437012
prop_8_0.05_alt.vnnlib,timeout,62.38495111465454
prop_9_0.03_alt.vnnlib,unsat,11.715028047561646
prop_9_0.05_alt.vnnlib,timeout,137.89494562149048
