property,result,time
prop_0_0.03.vnnlib,unsat,9.635587692260742
prop_0_0.05.vnnlib,timeout,308.7185628414154
prop_10_0.03.vnnlib,unsat,5.205535650253296
prop_10_0.05.vnnlib,timeout,303.9268162250519
prop_11_0.03.vnnlib,unsat,3.6368935108184814
prop_11_0.05.vnnlib,timeout,308.13848328590393
prop_12_0.03.vnnlib,unsat,6.434302568435669
prop_12_0.05.vnnlib,timeout,302.32761883735657
prop_13_0.03.vnnlib,unsat,9.61100435256958
prop_13_0.05.vnnlib,timeout,301.2201256752014
prop_14_0.03.vnnlib,unsat,10.055375576019287
prop_14_0.05.vnnlib,timeout,303.1044125556946
prop_1_0.03.vnnlib,timeout,307.82581901550293
prop_1_0.05.vnnlib,timeout,311.99565505981445
prop_2_0.03.vnnlib,unsat,4.8685009479522705
prop_2_0.05.vnnlib,timeout,313.92489528656006
prop_3_0.03.vnnlib,unsat,3.8489677906036377
prop_3_0.05.vnnlib,timeout,303.28869247436523
prop_4_0.03.vnnlib,unsat,6.580788850784302
prop_4_0.05.vnnlib,timeout,308.5886480808258
prop_5_0.03.vnnlib,unsat,4.314023733139038
prop_5_0.05.vnnlib,timeout,306.22477650642395
prop_6_0.03.vnnlib,sat,2.2441539764404297
prop_6_0.05.vnnlib,sat,1.840034008026123
prop_7_0.03.vnnlib,timeout,311.8957417011261
prop_7_0.05.vnnlib,timeout,314.2884085178375
prop_8_0.03.vnnlib,unsat,4.0497846603393555
prop_8_0.05.vnnlib,timeout,311.1821656227112
prop_9_0.03.vnnlib,timeout,313.05352330207825
prop_9_0.05.vnnlib,timeout,309.01129722595215
