property,result,time
prop_0_0.03.vnnlib,unsat,2.7295665740966797
prop_0_0.05.vnnlib,timeout,
prop_10_0.03.vnnlib,unsat,2.978482246398926
prop_10_0.05.vnnlib,timeout,
prop_11_0.03.vnnlib,unsat,2.7821295261383057
prop_11_0.05.vnnlib,unsat,8.177842378616333
prop_12_0.03.vnnlib,sat,1.4743669033050537
prop_12_0.05.vnnlib,sat,1.4271976947784424
prop_13_0.03.vnnlib,unsat,2.5578598976135254
prop_13_0.05.vnnlib,unsat,4.031317949295044
prop_14_0.03.vnnlib,unsat,2.6680471897125244
prop_14_0.05.vnnlib,unsat,7.144441604614258
prop_1_0.03.vnnlib,sat,1.5709362030029297
prop_1_0.05.vnnlib,sat,1.5545132160186768
prop_2_0.03.vnnlib,timeout,35.63265037536621
prop_2_0.05.vnnlib,sat,1.5039081573486328
prop_3_0.03.vnnlib,unsat,2.4656708240509033
prop_3_0.05.vnnlib,unsat,3.2820117473602295
prop_4_0.03.vnnlib,unsat,3.718050956726074
prop_4_0.05.vnnlib,sat,1.4598817825317383
prop_5_0.03.vnnlib,unsat,2.780794143676758
prop_5_0.05.vnnlib,sat,1.4720871448516846
prop_6_0.03.vnnlib,timeout,
prop_6_0.05.vnnlib,sat,1.4094517230987549
prop_7_0.03.vnnlib,unsat,2.8785970211029053
prop_7_0.05.vnnlib,unsat,2.348641872406006
prop_8_0.03.vnnlib,unsat,4.690454721450806
prop_8_0.05.vnnlib,sat,1.7926936149597168
prop_9_0.03.vnnlib,unsat,2.575291872024536
prop_9_0.05.vnnlib,unsat,8.869171619415283
